A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
0,108.0,138.0,2,6,4,35.0,1,0,1.0,0,2,53.0,66.0,1
1,42.0,1.0,2,2,4,14.0,0,0,1.0,0,2,47.0,1.0,0
1,163.0,87.0,1,3,4,3.0,0,0,1.0,1,2,134.0,1.0,0
1,115.0,95.0,1,8,5,58.0,0,0,1.0,0,2,69.0,160.0,0
0,94.0,40.0,2,1,1,1.0,1,0,1.0,0,2,24.0,1.0,0
0,172.0,46.0,2,8,4,7.0,0,0,1.0,1,2,122.0,58.0,0
1,19.0,94.0,2,8,4,7.0,0,0,1.0,0,1,24.0,1.0,0
0,220.0,109.0,2,11,4,4.0,1,0,1.0,1,2,81.0,1.0,1
1,72.0,67.0,1,8,8,60.0,1,0,1.0,0,2,1.0,1.0,1
0,21.0,155.0,2,1,1,1.0,0,0,1.0,0,2,1.0,36.0,0
1,89.0,179.0,2,11,8,39.0,1,0,1.0,1,2,38.0,1.0,1
0,104.0,17.0,2,8,8,24.0,1,0,1.0,1,2,151.0,1.0,1
1,109.0,180.0,1,4,8,31.0,0,0,1.0,1,2,1.0,18.0,0
0,73.0,117.0,2,6,4,5.0,0,0,1.0,0,2,77.0,150.0,0
1,76.0,26.0,2,7,4,14.0,1,0,1.0,1,1,107.0,1.0,0
1,103.0,11.0,1,8,4,37.0,0,0,1.0,1,2,53.0,1.0,0
1,289.0,8.0,1,4,4,7.0,1,1,12.0,0,2,124.0,197.0,1
1,54.0,1.0,2,8,4,14.0,0,0,1.0,1,1,1.0,1.0,0
1,201.0,200.0,1,8,4,76.0,1,0,1.0,0,2,24.0,1.0,0
0,75.0,170.0,2,13,4,2.0,1,0,1.0,0,2,24.0,169.0,1
0,285.0,42.0,2,3,7,9.0,0,0,1.0,0,2,1.0,57.0,0
1,260.0,11.0,1,13,8,43.0,1,1,9.0,0,2,32.0,105.0,1
1,163.0,160.0,2,14,4,99.0,1,0,1.0,0,2,1.0,1.0,1
1,49.0,14.0,2,8,4,4.0,0,0,1.0,0,2,1.0,35.0,0
0,32.0,145.0,2,6,4,3.0,1,0,1.0,0,2,32.0,1.0,1
0,122.0,193.0,2,14,8,67.0,1,1,2.0,0,2,38.0,12.0,1
1,245.0,2.0,2,10,4,2.0,0,1,2.0,0,1,159.0,1.0,1
